Count of PPA,Borough,Gender,Age Group,Self Classified Ethnicity,Offence Type,Charged/Summonsed,Proceedings Date
1,Newham,Male,15 to 19,Person declines to define ethnicity,Murder,Charge or Summons,Jul-03
1,Newham,Male,15 to 19,White,Murder,Charge or Summons,Aug-03
1,Tower Hamlets,Male,15 to 19,Asian ,Murder,Charge or Summons,Jul-03
1,Newham,Male,15 to 19,Black ,Murder,Charge or Summons,Mar-04
1,Newham,Male,15 to 19,Black ,Murder,Charge or Summons,Mar-04
1,Tower Hamlets,Male,20 to 24,White,Murder,Charge or Summons,Jul-03
1,Redbridge,Male,30 to 34,White,Murder,Charge or Summons,Aug-03
1,Redbridge,Male,55 to 59,White,Murder,Charge or Summons,Aug-03
1,Greenwich,Male,25 to 29,White,Murder,Charge or Summons,Jul-03
1,Southwark,Male,25 to 29,Black ,Murder,Charge or Summons,Aug-03
1,Greenwich,Male,25 to 29,White,Murder,Charge or Summons,Jul-03
1,Redbridge,Male,30 to 34,White,Murder,Charge or Summons,Jul-03
1,Westminster,Male,25 to 29,Person declines to define ethnicity,Manslaughter,Charge or Summons,Oct-03
1,Barnet,Male,15 to 19,Black ,Murder,Charge or Summons,Oct-03
1,Barnet,Female,15 to 19,Black ,Murder,Charge or Summons,Oct-03
1,Barnet,Male,20 to 24,Black ,Murder,Charge or Summons,Feb-04
1,Barnet,Female,15 to 19,Black ,Murder,Charge or Summons,Oct-03
1,Barnet,Female,15 to 19,Black ,Murder,Charge or Summons,Oct-03
1,Barnet,Male,15 to 19,Black ,Murder,Charge or Summons,Oct-03
1,Barnet,Male,15 to 19,Black ,Murder,Charge or Summons,Oct-03
1,Barnet,Male,10 to 14,Black ,Murder,Charge or Summons,Oct-03
1,Hillingdon,Male,35 to 39,White,Murder,Charge or Summons,Jul-03
1,Hounslow,Male,35 to 39,White,Murder,Charge or Summons,Aug-03
1,Hounslow,Male,50 to 54,White,Murder,Charge or Summons,Sep-03
1,Hounslow,Male,50 to 54,White,Murder,Charge or Summons,Apr-04
1,Croydon,Female,20 to 24,White,Murder,Charge or Summons,Jul-03
1,Southwark,Male,40 to 44,White,Murder,Charge or Summons,Aug-03
1,Haringey,Female,65 and over,SCE Not Recorded,Murder,Charge or Summons,Jul-03
1,Croydon,Male,40 to 44,White,Murder,Charge or Summons,Aug-03
1,Hackney,Female,30 to 34,White,Murder,Charge or Summons,Oct-03
1,Newham,Male,60 to 64,SCE Not Recorded,Murder,Charge or Summons,Jul-03
1,Barking & Dagenham,Female,15 to 19,White,Murder,Charge or Summons,Sep-03
1,Barking & Dagenham,Female,15 to 19,Other ,Murder,Charge or Summons,Jan-04
1,Newham,Male,30 to 34,Asian ,Murder,Charge or Summons,Aug-03
1,Southwark,Male,35 to 39,White,Murder,Charge or Summons,Aug-03
1,Barking & Dagenham,Male,25 to 29,Asian ,Murder,Charge or Summons,Feb-04
1,Hackney,Male,20 to 24,Black ,Murder,Charge or Summons,Aug-03
1,Waltham Forest,Male,20 to 24,White,Murder,Charge or Summons,Dec-03
1,Waltham Forest,Male,15 to 19,White,Murder,Charge or Summons,Jul-05
1,Brent,Male,35 to 39,Other ,Murder,Charge or Summons,Apr-06
1,Croydon,Male,15 to 19,White,Murder,Charge or Summons,Oct-03
1,Hackney,Male,15 to 19,Asian ,Murder,Charge or Summons,Aug-03
1,Hammersmith & Fulham,Male,15 to 19,White,Murder,Charge or Summons,Sep-03
1,Ealing,Male,25 to 29,Asian ,Murder,Charge or Summons,Sep-03
1,Ealing,Female,20 to 24,Asian ,Murder,Charge or Summons,Sep-03
1,Tower Hamlets,Male,25 to 29,White,Murder,Charge or Summons,Aug-03
1,Tower Hamlets,Male,45 to 49,White,Murder,Charge or Summons,Aug-03
1,Richmond Upon Thames,Female,20 to 24,Mixed,Murder,Charge or Summons,Sep-03
1,Havering,Male,20 to 24,White,Murder,Charge or Summons,Sep-03
1,Newham,Male,20 to 24,Person declines to define ethnicity,Murder,Charge or Summons,Oct-10
1,Brent,Male,20 to 24,Asian ,Murder,Charge or Summons,Nov-03
1,Lambeth,Male,15 to 19,Black ,Manslaughter,Charge or Summons,Sep-03
1,Lambeth,Male,15 to 19,Person declines to define ethnicity,Manslaughter,Charge or Summons,Sep-03
1,Ealing,Male,20 to 24,Person declines to define ethnicity,Murder,Charge or Summons,Dec-03
1,Southwark,Male,15 to 19,Black ,Murder,Charge or Summons,May-04
1,Southwark,Male,15 to 19,Black ,Murder,Charge or Summons,Jun-04
1,Southwark,Male,15 to 19,Black ,Murder,Charge or Summons,Jun-04
1,Southwark,Male,40 to 44,White,Murder,Charge or Summons,Sep-03
1,Southwark,Male,30 to 34,White,Murder,Charge or Summons,Sep-03
1,Lewisham,Male,10 to 14,Black ,Murder,Charge or Summons,Sep-03
1,Lewisham,Male,20 to 24,Black ,Murder,Charge or Summons,Nov-03
1,Islington,Male,30 to 34,Mixed,Murder,Charge or Summons,Nov-03
1,Brent,Male,25 to 29,Black ,Murder,Charge or Summons,Oct-05
1,Lewisham,Male,50 to 54,White,Murder,Charge or Summons,Nov-03
1,Harrow,Male,25 to 29,White,Murder,Charge or Summons,Sep-03
1,Camden,Male,30 to 34,Person declines to define ethnicity,Murder,Charge or Summons,Sep-03
1,Greenwich,Male,30 to 34,White,Murder,Charge or Summons,Oct-03
1,Newham,Male,35 to 39,Black ,Murder,Charge or Summons,Oct-03
1,Newham,Male,30 to 34,Black ,Murder,Charge or Summons,Jun-04
1,Kingston Upon Thames,Male,30 to 34,Black ,Murder,Charge or Summons,Dec-03
1,Kingston Upon Thames,Male,25 to 29,White,Murder,Charge or Summons,Dec-03
1,Kingston Upon Thames,Male,30 to 34,Black ,Murder,Charge or Summons,Dec-03
1,Hackney,Male,30 to 34,Person declines to define ethnicity,Murder,Charge or Summons,Oct-03
1,Waltham Forest,Male,30 to 34,Asian ,Murder,Charge or Summons,Oct-03
1,Waltham Forest,Male,15 to 19,Asian ,Murder,Charge or Summons,Oct-03
1,Waltham Forest,Male,20 to 24,Asian ,Murder,Charge or Summons,Oct-03
1,Waltham Forest,Male,20 to 24,Asian ,Murder,Charge or Summons,Oct-03
1,Waltham Forest,Male,20 to 24,Person declines to define ethnicity,Murder,Charge or Summons,Oct-03
1,Waltham Forest,Male,20 to 24,Asian ,Murder,Charge or Summons,Oct-03
1,Waltham Forest,Male,20 to 24,Person declines to define ethnicity,Murder,Charge or Summons,Jun-04
1,Hackney,Male,40 to 44,White,Murder,Charge or Summons,Dec-05
1,Tower Hamlets,Male,30 to 34,Asian ,Murder,Charge or Summons,Dec-03
1,Islington,Male,50 to 54,White,Murder,Charge or Summons,Oct-03
1,Haringey,Male,30 to 34,Black ,Murder,Charge or Summons,Oct-03
1,Haringey,Male,30 to 34,Black ,Murder,Charge or Summons,Sep-04
1,Hackney,Female,20 to 24,Black ,Murder,Charge or Summons,Dec-03
1,Enfield,Female,20 to 24,Black ,Murder,Charge or Summons,Oct-03
1,Waltham Forest,Male,30 to 34,Asian ,Murder,Charge or Summons,Nov-03
1,Hammersmith & Fulham,Male,65 and over,White,Murder,Charge or Summons,Oct-03
1,Hounslow,Male,40 to 44,White,Murder,Charge or Summons,Oct-03
1,Enfield,Male,40 to 44,White,Murder,Charge or Summons,Oct-03
1,Newham,Male,45 to 49,Person declines to define ethnicity,Murder,Charge or Summons,Oct-03
1,Greenwich,Male,50 to 54,White,Murder,Charge or Summons,Oct-03
1,Croydon,Male,20 to 24,Asian ,Murder,Charge or Summons,Nov-03
1,Croydon,Male,25 to 29,Asian ,Murder,Charge or Summons,Nov-03
1,Croydon,Male,25 to 29,Asian ,Murder,Charge or Summons,Nov-03
1,Croydon,Male,20 to 24,Asian ,Murder,Charge or Summons,Dec-03
1,Croydon,Male,30 to 34,Asian ,Murder,Charge or Summons,Nov-03
1,Redbridge,Male,15 to 19,Person declines to define ethnicity,Murder,Charge or Summons,Oct-03
1,Islington,Male,15 to 19,White,Murder,Charge or Summons,Oct-03
1,Brent,Male,45 to 49,Black ,Murder,Charge or Summons,Nov-03
1,Haringey,Male,35 to 39,Black ,Murder,Charge or Summons,Nov-03
1,Haringey,Male,20 to 24,Mixed,Murder,Charge or Summons,May-04
1,Haringey,Male,15 to 19,Black ,Murder,Charge or Summons,Jun-06
1,Harrow,Male,15 to 19,White,Murder,Charge or Summons,Nov-03
1,Haringey,Female,50 to 54,White,Murder,Charge or Summons,Nov-03
1,Lambeth,Male,20 to 24,White,Murder,Charge or Summons,Nov-03
1,Haringey,Female,40 to 44,White,Murder,Charge or Summons,Nov-03
1,Haringey,Female,40 to 44,White,Murder,Charge or Summons,Nov-03
1,Greenwich,Male,35 to 39,White,Murder,Charge or Summons,Nov-03
1,Hackney,Male,20 to 24,Person declines to define ethnicity,Murder,Charge or Summons,Dec-03
1,Hackney,Male,15 to 19,Mixed,Murder,Charge or Summons,Jun-04
1,Hackney,Male,20 to 24,Mixed,Murder,Charge or Summons,Jun-04
1,Havering,Male,35 to 39,Black ,Murder,Charge or Summons,Dec-03
1,Havering,Male,20 to 24,White,Murder,Charge or Summons,Dec-03
1,Havering,Male,20 to 24,White,Murder,Charge or Summons,Dec-03
1,Havering,Female,20 to 24,White,Murder,Charge or Summons,Dec-03
1,Lewisham,Male,20 to 24,Black ,Murder,Charge or Summons,Nov-03
1,Lewisham,Male,20 to 24,Black ,Murder,Charge or Summons,Nov-03
1,Enfield,Male,20 to 24,White,Murder,Charge or Summons,Mar-04
1,Enfield,Male,30 to 34,White,Murder,Charge or Summons,Mar-04
1,Sutton,Male,20 to 24,Person declines to define ethnicity,Murder,Charge or Summons,Dec-09
1,Tower Hamlets,Male,25 to 29,Asian ,Murder,Charge or Summons,Dec-03
1,Greenwich,Male,45 to 49,Black ,Murder,Charge or Summons,Dec-03
1,Enfield,Male,30 to 34,White,Murder,Charge or Summons,Jan-04
1,Barking & Dagenham,Male,55 to 59,White,Manslaughter,Charge or Summons,Dec-03
1,Greenwich,Male,45 to 49,Black ,Manslaughter,Charge or Summons,Dec-03
1,Hillingdon,Male,20 to 24,White,Murder,Charge or Summons,Dec-03
1,Lambeth,Male,45 to 49,White,Murder,Charge or Summons,Dec-03
1,Hackney,Male,30 to 34,White,Murder,Charge or Summons,Jan-04
1,Greenwich,Male,65 and over,Black ,Murder,Charge or Summons,Jan-04
1,Croydon,Male,25 to 29,Mixed,Murder,Charge or Summons,Jan-04
1,Havering,Male,30 to 34,White,Murder,Charge or Summons,Apr-05
1,Havering,Male,30 to 34,White,Murder,Charge or Summons,Jul-10
1,Haringey,Female,40 to 44,White,Murder,Charge or Summons,Jan-04
1,Newham,Male,25 to 29,White,Murder,Charge or Summons,Jan-04
1,Croydon,Male,65 and over,White,Murder,Charge or Summons,Jan-04
1,Haringey,Male,35 to 39,Black ,Murder,Charge or Summons,Jan-04
1,Bromley,Male,25 to 29,Black ,Murder,Charge or Summons,Mar-04
1,Waltham Forest,Male,15 to 19,Mixed,Murder,Charge or Summons,Jan-04
1,Haringey,Male,55 to 59,White,Murder,Charge or Summons,Jan-04
1,Tower Hamlets,Male,15 to 19,Asian ,Murder,Charge or Summons,Feb-04
1,Tower Hamlets,Male,15 to 19,Asian ,Murder,Charge or Summons,Feb-04
1,Tower Hamlets,Male,15 to 19,Asian ,Murder,Charge or Summons,Mar-04
1,Tower Hamlets,Male,15 to 19,Asian ,Murder,Charge or Summons,Nov-05
1,Newham,Male,30 to 34,Asian ,Murder,Charge or Summons,Feb-04
1,Newham,Male,35 to 39,Asian ,Murder,Charge or Summons,Mar-08
1,Newham,Male,25 to 29,Asian ,Murder,Charge or Summons,Mar-08
1,Hackney,Male,15 to 19,Black ,Murder,Charge or Summons,Jan-04
1,Newham,Male,15 to 19,Asian ,Murder,Charge or Summons,Feb-04
1,Newham,Male,15 to 19,Asian ,Murder,Charge or Summons,Feb-04
1,Newham,Male,15 to 19,Asian ,Murder,Charge or Summons,Feb-04
1,Newham,Male,15 to 19,Asian ,Murder,Charge or Summons,Sep-04
1,Newham,Male,20 to 24,Asian ,Murder,Charge or Summons,Jan-06
1,Merton,Male,30 to 34,Black ,Murder,Charge or Summons,Jan-04
1,Redbridge,Male,40 to 44,Person declines to define ethnicity,Murder,Charge or Summons,Mar-04
1,Redbridge,Male,35 to 39,Person declines to define ethnicity,Murder,Charge or Summons,Mar-04
1,Redbridge,Male,35 to 39,Person declines to define ethnicity,Murder,Charge or Summons,Jun-04
1,Redbridge,Male,35 to 39,Black ,Murder,Charge or Summons,Oct-04
1,Croydon,Male,10 to 14,White,Manslaughter,Charge or Summons,Mar-04
1,Hammersmith & Fulham,Male,65 and over,White,Murder,Charge or Summons,Jun-04
1,Lambeth,Male,15 to 19,Black ,Murder,Charge or Summons,Jan-04
1,Lewisham,Male,35 to 39,Asian ,Murder,Charge or Summons,Jan-04
1,Lambeth,Male,20 to 24,Black ,Murder,Charge or Summons,Aug-04
1,Lambeth,Male,20 to 24,Black ,Murder,Charge or Summons,Mar-04
1,Richmond Upon Thames,Male,25 to 29,White,Murder,Charge or Summons,Jan-04
1,Croydon,Male,35 to 39,White,Manslaughter,Charge or Summons,Jan-04
1,Croydon,Male,35 to 39,Black ,Murder,Charge or Summons,Feb-04
1,Havering,Female,15 to 19,Person declines to define ethnicity,Murder,Charge or Summons,Feb-04
1,Havering,Female,25 to 29,Person declines to define ethnicity,Murder,Charge or Summons,Feb-04
1,Havering,Male,20 to 24,Mixed,Murder,Charge or Summons,Apr-04
1,Richmond Upon Thames,Male,25 to 29,Person declines to define ethnicity,Murder,Charge or Summons,Feb-04
1,Tower Hamlets,Male,35 to 39,Person declines to define ethnicity,Murder,Charge or Summons,Jun-04
1,Waltham Forest,Male,30 to 34,Person declines to define ethnicity,Murder,Charge or Summons,Feb-04
1,Hillingdon,Male,20 to 24,Asian ,Murder,Charge or Summons,Mar-04
1,Hillingdon,Male,20 to 24,Asian ,Murder,Charge or Summons,Mar-04
1,Hillingdon,Male,20 to 24,Asian ,Murder,Charge or Summons,Mar-04
1,Hillingdon,Male,25 to 29,Asian ,Murder,Charge or Summons,Mar-04
1,Haringey,Male,20 to 24,Mixed,Murder,Charge or Summons,Sep-04
1,Haringey,Male,30 to 34,Mixed,Murder,Charge or Summons,Sep-04
1,Redbridge,Male,20 to 24,Asian ,Murder,Charge or Summons,Mar-04
1,Camden,Male,15 to 19,White,Murder,Charge or Summons,Nov-04
1,Hillingdon,Male,15 to 19,Black ,Murder,Charge or Summons,Mar-04
1,Hillingdon,Male,15 to 19,SCE Not Recorded,Murder,Charge or Summons,Mar-04
1,Hillingdon,Male,15 to 19,Black ,Murder,Charge or Summons,Mar-04
1,Greenwich,Male,30 to 34,White,Murder,Charge or Summons,Mar-04
1,Southwark,Male,30 to 34,White,Murder,Charge or Summons,Mar-04
1,Ealing,Female,25 to 29,White,Murder,Charge or Summons,Mar-04
1,Southwark,Male,15 to 19,Asian ,Murder,Charge or Summons,Apr-04
1,Brent,Male,25 to 29,White,Murder,Charge or Summons,May-04
1,Lewisham,Male,20 to 24,Black ,Murder,Charge or Summons,Oct-04
1,Southwark,Male,35 to 39,White,Murder,Charge or Summons,Mar-04
1,Hackney,Female,35 to 39,White,Murder,Charge or Summons,Mar-04
1,Enfield,Male,30 to 34,White,Murder,Charge or Summons,Mar-04
1,Lewisham,Male,45 to 49,Black ,Murder,Charge or Summons,Apr-04
1,Westminster,Male,50 to 54,White,Murder,Charge or Summons,Nov-04
1,Westminster,Male,30 to 34,White,Murder,Charge or Summons,Jan-05
1,Bexley,Male,25 to 29,White,Murder,Charge or Summons,May-04
1,Bexley,Male,25 to 29,White,Murder,Charge or Summons,May-04
1,Ealing,Male,15 to 19,White,Murder,Charge or Summons,Apr-04
1,Ealing,Male,15 to 19,White,Murder,Charge or Summons,May-04
1,Haringey,Male,55 to 59,White,Murder,Charge or Summons,Apr-04
1,Ealing,Male,35 to 39,White,Murder,Charge or Summons,Apr-04
1,Islington,Male,50 to 54,White,Murder,Charge or Summons,Apr-04
1,Southwark,Male,20 to 24,Black ,Murder,Charge or Summons,May-05
1,Southwark,Male,25 to 29,Black ,Murder,Charge or Summons,Jun-05
1,Hounslow,Male,25 to 29,White,Murder,Charge or Summons,Apr-04
1,Lambeth,Male,45 to 49,Black ,Murder,Charge or Summons,Apr-04
1,Haringey,Male,30 to 34,SCE Not Recorded,Murder,Charge or Summons,Apr-04
