objectid,Approve,cs_address_one,cs_address_two,cs_borough,cs_cooling_facilities,cs_cooling_facilities_other,cs_heat_vulnerable,cs_heat_vulnerable_other,cs_indoor_site_id,cs_max_seating,cs_name,cs_opening_hours,cs_postcode,cs_toilets_available,cs_wheelchair_access,has_drinking_water,has_seating,indoor_cooling_temp,is_free_of_charge,is_staffed_when_open,org_name,runtime,Tier,x,y
15,Yes,183 Euston Road,,Camden,Air conditioning,," young children, older people, pregnant women ",,23,150,Wellcome Collection,"Monday-Wednesday 10.00-18.00, Thursday 10.00-20.00, Friday-Sunday 10.00-18.00",,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Wellcome Collection,20250527,Tier 1,529553.918,182456.416
95,Yes,88 Avenue Road,,Camden,,,"Young children,Older people,Pregnant women",,582,25,Swiss Cottage Library,Monday to Thursday: 10am to 8pm Friday to Saturday: 10am to 5pm Sunday: closed,NW3 3HA,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,Camden Council,20250527,Tier 1,526779,184180
107,Yes,5 Pancras Square,,Camden,Air conditioning,,"Young children,Older people,Pregnant women",,583,35,Pancras Square Library,Monday – Saturday: 8am to 8pm Sunday: 11am to 5pm,N1C 4AG,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,Camden Council,20250527,Tier 1,530036.425,183326.147
108,Yes,165 Queen's Crescent,,Camden,Air conditioning,,"Young children,Older people,Pregnant women",,584,10,Queens Crescent Library,Monday: 10am to 6pm Tuesday to Thursday: 11am to 6pm Friday to Saturday: 11am to 5pm Sunday: closed,NW5 4HH,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,Camden Council,20250527,Tier 2,528287.51,185113.05
135,Yes,2 Ossulston Street,London,Camden,Air conditioning,,"Young children,Older people,Pregnant women",,618,15,The St Pancras and Somers Town Living Centre,9am to 5pm Monday to Friday.  Saturday and Sunday vary,NW1 1DF,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,Somers Town Community Association,20250527,Tier 1,529840,183022
136,Yes,150 Ossulston Street,London,Camden,,,"Young children,Older people,Pregnant women",,619,15,Somers Town Community Centre,9am to 5pm Monday to Friday.  Saturday and Sunday vary,NW1 1EE,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,Somers Town Community Association,20250527,Tier 1,529763,183113
203,Yes,26 Store Street,,Camden,Air conditioning,,,,624,8,Building Centre,Monday to Friday 8am to 6pm,WC1E 7BT,available on site,yes,yes,yes,26c_or_less,yes,yes,Building Centre,20250530,Tier 1,529731,181736
205,Yes,201 Drummond Street,Regent's Place,Camden,Air conditioning,,"Young children,Older people,Pregnant women,Other",homeless,623,20,Old Diorama Arts Centre,Monday - Thursday: 9am–10pm Friday & Saturday: 9am - 6pm Sunday: 10am - 6pm,NW1 3FE,available on site,yes,yes,yes,26c_or_less,yes,yes,Old Diorama Arts Centre,20250530,Tier 1,529180,182449
207,Yes,Lyncroft Gardens,,Camden,,,"Young children,Older people,Pregnant women",,626,100,Emmanuel Church,"Mon-Fri 9:30-6 Saturday 9:30-2:30 Sunday 2-6 (we are sometimes used as a concert venue which means the building is not always open free of charge, but these are fairly infrequent)",NW6 1JU,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Emmanuel Church,20250530,Tier 1,525420,185301
250,Yes,96 Euston Rpad,,Camden,Air conditioning,,,,666,100,British Library,Monday 09.30 – 20.00 Tuesday 09.30 – 20.00 Wednesday 09.30 – 20.00 Thursday 09.30 – 20.00 Friday 09.30 – 18.00 Saturday 09.30 – 17.00 Sunday 11.00 – 17.00,NW1 2DB,available on site,yes,yes,yes,26c_or_less,yes,yes,British Library,20250626,Tier 1,530019,182893
74,Yes,Silk Street,,City of London,Air conditioning,,"young children,older people,pregnant women",,115,50,Barbican Library,"Mon/Wed/Fri 9.30-5.30, Tues/Thurs 9.30-7.30, Sat 9.30-4",EC2Y 8DS,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Barbican & Community Libraries,20250527,Tier 1,532442.014,181849.88
75,Yes,1 Little New Street,,City of London,Air conditioning,,"young children,older people,pregnant women",,116,30,Shoe Lane Library,"Mon/Wed/Thurs/Fri- 9.30-5.30, Tue 9.30-6.30",EC4A 3JR,Not available,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Barbican & Community Libraries,20250527,Tier 2,531460.625,181331.442
76,Yes,1 Artizan Street,,City of London,Air conditioning,,"young children,older people,pregnant women",,117,10,Artizan Street Library & Community Centre,"Mon 8-7, Tue-Fri 8-5.30",E1 7AF,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Barbican & Community Libraries,20250527,Tier 1,533553.687,181366.012
237,Yes,"Golden Lane Estate, Fann Street",London,City of London,Natural cooling/ventilation,,,,652,12,Golden Lane Community Centre,Mon-Friday   10am to 4pm Closed weekends and public holidays,EC1Y 0SA,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,City of London Corporation,20250619,Tier 1,532228.438,182085.228
257,Yes,20 LIttle Somerset Street,London,City of London,Air conditioning,,,,675,7,Portsoken Community Centre,Monday to Friday 10am to 4pm  Not open weekends or bank holidays,E1 8AH,available on site,yes,yes,yes,26c_or_less,yes,yes,City of London Corporation,20250701,Tier 2,533700,181198
260,Yes,Holborn viaduct,London,City of London,Natural cooling/ventilation,,"Young children,Older people,Pregnant women,Other",Dementia and other neurological Condition friendly,676,250,Holy Sepulchre Church,Monday - 11am to 3pm Tuesday - 8:30am to 2.30pm Wednesday - 8:30am to 6.30pm Thursday 8:30am to 2.30pm Friday - 10am to 3pm Saturday (see website) Sundays 10-4,EC1A2DQ,available on site,yes,yes,yes,26c_or_less,yes,yes,Holy sepulchre,20250701,Tier 2,531754,181466
264,Yes,Silk Street,,City of London,"Air conditioning,Natural cooling/ventilation",,"Young children,Older people,Pregnant women,Other","We welcome all people, and offer support to those of varying needs.",680,50,Barbican Art Centre,Monday to Friday 8am — 11pm Saturday and Sunday 9am — 11pm Bank Holidays 10:30am - 11pm New Year's Day 12 noon — 11pm,EC2Y 8DS,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Barbican Art Centre,20250701,Tier 1,532329,181837
265,Yes,101 Queen Victoria Street,,City of London,Air conditioning,,"Young children,Older people,Pregnant women",,681,20,The Salvation Army,Mon - Fri 8am-3:30pm,EC4V 4EH,short walk and signposted from the site,yes,yes,yes,26c_or_less,yes,yes,The Salvation Army,20250704,Tier 2,532127,180919
267,Yes,Byward Street,London,City of London,Natural cooling/ventilation,,"Young children,Older people,Pregnant women",,683,100,All Hallows by the Tower,"Monday, Tuesday, Thursday, Friday: 8am - 5pm Wednesday: 8am - 7pm Saturday: 10am - 5pm Sunday: 11am - 5pm Bank Holidays: closed apart from services",EC3R 5BJ,short walk and signposted from the site,yes,yes,yes,cannot_guarantee_26c,yes,yes,All Hallows by the Tower,20250709,Tier 1,533395,180682
268,Yes,Bishopsgate,London,City of London,"Natural cooling/ventilation,Other",Church has well insulated walls that in the summer keep the heat out,"Young children,Older people,Pregnant women",,684,250,St Botolph without Bishopsgate Church,Mon - Fri 7.30am - 5.30pm,EC2M 3TL,short walk and signposted from the site,yes,yes,yes,cannot_guarantee_26c,yes,yes,St Botolph without Bishopsgate Church,20250709,Tier 1,533227,181517
276,Yes,15-17 New Square Street,Nevill Lane,City of London,Air conditioning,,"Young children,Older people,Pregnant women",,693,50,Natural Kitchen,Monday - Friday 7:30am - 4:00pm Sat-Sun Closed,EC4A 3AP,available on site,yes,yes,yes,26c_or_less,yes,yes,Natural Kitchen,20250716,Tier 2,531339,181337
277,Yes,1A Copthall Ave,Angel Court,City of London,Air conditioning,,"Young children,Older people,Pregnant women",,694,50,Natural Kitchen,Mon - Thursday 8:00am - 10:00pm Friday 11:30am - 10:00pm Sat - Sunday Closed,EC2R 7BH,available on site,yes,yes,yes,26c_or_less,yes,yes,Natural Kitchen,20250716,Tier 2,532756,181374
285,Yes,12 Jewry Street,,City of London,Natural cooling/ventilation,,"Young children,Older people",,702,30,City Wall at Vine Street museum,Mon-Sun 10-5pm Closed Bank Holidays,EC3N 2HT,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Urbanest,20250724,Tier 1,533542,180970
297,Yes,3 Aldermanbury,,City of London,Air conditioning,,,,714,50,The London Centre,Monday: Closed  Tuesdays-Saturdays: 11am-5pm Sunday: Closed,EC2V 7HH,available on site,yes,yes,yes,26c_or_less,yes,yes,The London Centre,20250808,Tier 2,532513,181353
307,Yes,Fore St (Barbican),London,City of London,Natural cooling/ventilation,,"Young children,Older people,Pregnant women",,724,400,St Giles’ Church Cripplegate,Sunday - Weds and Friday: 0800-1800 Thursday and Saturday: 1000–1600 (often longer),EC2Y 8DA,available on site,yes,yes,yes,26c_or_less,yes,yes,"St Giles’ Church, Cripplegate",20250919,Tier 1,532348,181702
308,Yes,Guildhall Yard,,City of London,Air conditioning,,"Young children,Pregnant women",,725,27,Guildhall Art Gallery & London's Roman Amphitheatre,Monday-Sunday: 10am to 5pm,EC2V 5AE,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,City of London Corporation,20250919,Tier 1,532495,181320
5,Yes,Cherington Road,,Ealing, Natural cooling/ventilation ,," young children, older people, pregnant women ",,3,20,Hanwell Community Library,"Monday- Closed, Tuesday 10-1 then 2-5, Wednesday 10-1 then 2-5, Thursday 2-5, Friday 10-1 then 2-5, Saturday 10-4, Sunday- Closed",,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,Ealing (Libraries),20250527,Tier 2,515566,180312
6,Yes,66 Church Street,,Enfield, Natural cooling/ventilation ,," young children, older people, pregnant women ",,4,40,Enfield Town Library,"Monday, Tuesday and Thursday 9am-8pm. wednesday, Friday and Saturday 9am-5.30pm. Sunday 12-4pm. Closed on public holidays",EN2 6AX,Available on site,Yes,Yes,Yes,I don’t know/ it’s not possible to  monitor indoor temperature,Yes,Yes,Enfield (Libraries),20250527,Tier 1,532493,196500
101,Yes,Broomfield Lane,,Enfield,Air conditioning,,"Young children,Older people,Pregnant women",,576,50,Palmers Green Library,"Monday, Tuesday, Thursday 9-8pm Friday 9-5.30pm Saturday 9-5pm  Closed on Public Holidays.",N13 4EY,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,Enfield Council,20250527,Tier 1,530909.91,192440.99
102,Yes,36-44 South Mall,,Enfield,"Air conditioning,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,577,100,Edmonton Green Library,"Monday	 09:00 - 19:00  Tuesday	 09:00 - 19:00  Wednesday	 09:00 - 19:00  Thursday	 09:00 - 19:00  Friday	 09:00 - 17:30  Saturday	 09:00 - 17:00  Sunday	 Closed",N90TN,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,London Borough of Enfield,20250527,Tier 1,534488,193358
103,Yes,645 Hertford road,,Enfield,Air conditioning,,"Young children,Older people,Pregnant women",,578,150,Ordnance Unity Centre library,Mon 9am-8pm Tuesday 9am-8pm Wednesday - closed Thursday 9am-8pm Friday 9am-5.30pm Saturday 9am-5pm,EN3 6ND,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,Ordnance Unity Centre Library,20250527,Tier 1,535676,198853
12,Yes,Peninsula Square,,Greenwich,"Natural cooling/ventilation,Air conditioning",," young children, older people, pregnant women ",,19,"5,000",The O2,10:00 - 01:00 daily (except 25th Dec),,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,AEG Europe,20250527,Tier 1,539130.526,180122.451
17,Yes,105 Powys Street,,Greenwich,Air conditioning,," young children, older people, pregnant women ",,25,30,Woolwich Front Room,Tuesday to Saturday 11am to 4.30pm,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,GCDA,20250527,Tier 2,543415.306,179024.939
42,Yes,Eysham Drive,,Greenwich,"Air conditioning,Stand up fans,Natural cooling/ventilation",," young children, older people, pregnant women ",,79,8,Abbey Wood Library,Mon 14:00 - 19:00 Tue 09:00 - 13:00 and 14:00 - 17:30 Wed Closed Thu 14:00 - 19:00 Fri 09:00 - 13:00 and 14:00 - 17:30 Sat 09:00 - 13:00 and 14:00 - 17:00 Sun Closed,,Not available,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limted,20250527,Tier 2,546593.268,179266.053
43,Yes,Old Dover Road,,Greenwich,"Air conditioning,Stand up fans,Natural cooling/ventilation",," young children, older people, pregnant women ",,80,35,Blackheath Library,Mon-Sat 9am - 5.00pm Sundays closed,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limited,20250527,Tier 1,540462.284,177271.238
44,Yes,William Barefoot Drive,,Greenwich,"Stand up fans,Air conditioning,Natural cooling/ventilation",,"young children,older people",,82,6,Coldharbour Library,Mon 14:00 - 19:00 Tue 09:00 - 13:00 and 14:00 - 17:30 Wed Closed Thu 14:00 - 19:00 Fri 09:00 - 13:00 and 14:00 - 17:30 Sat 09:00 - 13:00 and 14:00 - 17:00 Sun Closed,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limited,20250527,Tier 2,543542.518,172550.718
45,Yes,12 Lambarde Square,,Greenwich,"Air conditioning,Stand up fans,Natural cooling/ventilation",," young children, older people, pregnant women ",,74,70,Greenwich Centre Library,Mon - Tue 10:00 - 18:00 Wed 10:00 - 20:00 Thu - Fri 10:00 - 18:00 Sat 10:00 - 17:00 Sun 12:00 - 16:00,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limited,20250527,Tier 1,539529.08,178103.562
46,Yes,Southwood Road,,Greenwich,"Air conditioning,Stand up fans,Natural cooling/ventilation",,"young children,older people",,83,20,New Eltham Library,Mon 14:00 - 19:00 Tue 09:00 - 17:30 Wed Closed Thu 14:00 - 19:00 Fri 09:00 - 17:30 Sat 09:00 - 17:00 Sun Closed,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limited,20250527,Tier 2,544055.386,172936.893
47,Yes,232 Plumstead High Street,,Greenwich,"Air conditioning,Natural cooling/ventilation",," young children, older people, pregnant women ",,75,50,Plumstead Centre Library,Mon-Sat 9am - 5.00pm Sundays closed,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limited,20250527,Tier 1,545669.656,178478.278
48,Yes,Thamesmere Drive,,Greenwich,"Air conditioning,Stand up fans,Natural cooling/ventilation",," young children, older people, pregnant women ",,77,20,Thamesmere Library,Mon-Sat 9am - 5.00pm Sundays closed,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limited,20250527,Tier 1,546448.752,180833.332
49,Yes,35 Wellington Street,,Greenwich,"Air conditioning,Stand up fans,Ceiling fans,Natural cooling/ventilation",," young children, older people, pregnant women ",,78,70,Woolwich Library,Mon-Sat 9am - 5.00pm Sundays closed,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limited,20250527,Tier 1,543505.413,178722.797
50,Yes,"Erindale, Plumstead",,Greenwich,"Air conditioning,Stand up fans,Natural cooling/ventilation",," young children, older people, pregnant women ",,76,7,Slade Centre Library,Mon 14:00 - 19:00 Tue 09:00 - 13:00 and 14:00 - 17:30 Wed Closed Thu 14:00 - 19:00 Fri 09:00 - 13:00 and 14:00 - 17:30 Sat 09:00 - 13:00 and 14:00 - 17:00 Sun Closed,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limited,20250527,Tier 2,544905.239,177629.563
51,Yes,Archery Road,,Greenwich,"Air conditioning,Stand up fans,Natural cooling/ventilation",," young children, older people, pregnant women ",,73,40,Eltham Library,Seven days a week 9am - 5.30pm,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limited,20250527,Tier 1,543022.919,174555.954
53,Yes,Charlton Road,,Greenwich,"Stand up fans,Natural cooling/ventilation",,"young children,older people",,81,4,Charlton House Library,Mon 14:00 - 19:00 Tue 09:00 - 13:00 and 14:00 - 17:30 Wed Closed Thu 14:00 - 19:00 Fri 09:00 - 13:00 and 14:00 - 17:30 Sat 09:00 - 13:00 and 14:00 - 17:00 Sun Closed,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limited,20250527,Tier 2,541536.476,177701.635
54,Yes,"Greenwich High Road,",,Greenwich,"Air conditioning,Stand up fans,Natural cooling/ventilation",," young children, older people, pregnant women ",,84,20,West Greenwich Library,Mon 14:00 - 19:00 Tue 09:00 - 17:30 Wed Closed Thu 14:00 - 19:00 Fri 14:00 - 17:30 Sat 09:00 - 17:00 Sun Closed,,Not available,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Greenwich Leisure Limited,20250527,Tier 2,538184.609,177336.873
123,Yes,107 Brookhill Road,Woolwich,Greenwich,Natural cooling/ventilation,,"Older people,Other",Street homeless,606,50,The Woolwich Service Users Project,Mon: 10am - 3pm Tues: 10am - 2pm Sat: 10am - 2pm Closed on public holidays.,SE18 6BJ,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,Woolwich Service Users Project,20250527,Tier 2,543593.48,178569.88
213,Yes,76 Hornfair Road,Charlton,Greenwich,"Air conditioning,Natural cooling/ventilation",,"Older people,Other",Cared for People,634,50,Greenwich Carers Centre,"Monday - Friday, 9am - 5pm  Weekends and Public Holidays closed",SE7 7BD,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Greenwich Carers Centre,20250530,Tier 1,541630,177420
217,Yes,360 Middle Park Avenue,London,Greenwich,Natural cooling/ventilation,,Other,Clients experiencing homelessness and those at risk of homelessness,641,20,Greenwich Homeless Project - Day Centre,Mondays 9am-1pm Wednesdays 9am-3pm Fridays 9am-1pm,SE9 5QH,available on site,no,yes,yes,cannot_guarantee_26c,yes,yes,Greenwich Homeless Project,20250604,Tier 2,542335.2,173348.6
233,Yes,7 Durnford Street,Greenwich,Greenwich,"Stand up fans,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,649,50,Artfix,Mon - Sun 08:00 - 20:00,SE10 9BF,available on site,yes,yes,yes,26c_or_less,yes,yes,Artfix,20250613,Tier 1,538315.85,177686.54
234,Yes,1 Cranfield Walk,Kidbrooke,Greenwich,Air conditioning,,"Young children,Older people,Pregnant women",,650,100,Artfix,Mon - Sun 08:00 - 20:00,SE3 9EX,available on site,yes,yes,yes,26c_or_less,yes,yes,Artfix,20250613,Tier 1,540661,175579
305,Yes,8 Pegler Square,Kidbrooke,Greenwich,Air conditioning,,"Young children,Older people,Pregnant women",,722,100,Kidbrooke community hub,Monday - Friday 8am till 6pm Sat 8am till 12 noon Sunday 8am till 1pm,SE3 9GR,available on site,yes,yes,yes,26c_or_less,yes,yes,GCDA - Kidbrooke Community Hub,20250813,Tier 1,540934.79,175499.68
1,Yes,80 Eastway,,Hackney,Air conditioning,," young children, older people, pregnant women ",,29,100,The Baths,7am - 10pm daily,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Civic State,20250527,Tier 1,536748.959,184970.873
8,Yes,39a Newington Green,,Hackney,Natural cooling/ventilation,," young children, older people, pregnant women ",,8,20,Newington Green Meeting House,"Thursdays 12pm - 6pm, Fridays 12pm - 6pm, closed on bank holidays",,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,New Unity CIO,20250527,Tier 2,532879.287,185432.25
78,Yes,Northwold Road,,Hackney,Air conditioning,,"Young children,Older people,Pregnant women",,119,50,Clapton Library,"Mon, Tues and Thurs 10am to 8pm Wed 1pm to 6pm Fri 10am to 6pm Sat 10am to 5pm Closed on public holidays",E5 8RA,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,London Borough of Hackney,20250527,Tier 1,534210.919,186653.578
79,Yes,Homerton High Street,,Hackney,Air conditioning,,"Young children,Older people,Pregnant women",,120,50,Homerton Library,"Mon, Tues and Thurs 10am to 8pm Wed 1pm to 6pm Fri 10am to 6pm Sat 10am to 5pm Closed on public holidays",E9 6AS,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,London Borough of Hackney,20250527,Tier 1,535883.052,185126.802
80,Yes,Portland Avenue,,Hackney,Stand up fans,,"Young children,Older people,Pregnant women",,121,50,Stamford Hill Library,Mon to Thurs 9am to 8pm Fri 9am to 6pm Sat 9am to 5pm Sun 1pm to 5pm Closed on public holidays,N16 6SB,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,London Borough of Hackney,20250527,Tier 1,533660.69,187504.785
81,Yes,Collins Tower,Dalston Square,Hackney,Natural cooling/ventilation,,"Young children,Older people,Pregnant women",,123,80,Dalston CLR James Library,Mon to Thurs 9am to 8pm Fri 9am to 6pm Sat 9am to 5pm Sun 1pm to 5pm Closed on public holidays,E8 3BQ,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,London Borough of Hackney,20250527,Tier 1,533660.41,184738.82
82,Yes,1 Reading Lane,,Hackney,Air conditioning,,"Young children,Older people,Pregnant women",,124,80,Hackney Central Library,Mon to Thurs 9am to 8pm Fri 9am to 6pm Sat 9am to 5pm Closed on public holidays,E8 1GQ,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,London Borough of Hackney,20250527,Tier 1,534895,184633
83,Yes,80 Hoxton Street,,Hackney,Air conditioning,,"Young children,Older people,Pregnant women",,125,80,Shoreditch Library,Mon to Thurs 10am to 8pm Fri 10am to 6pm Sat 10am to 5pm Closed on public holidays,N1 6LP,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,London Borough of Hackney,20250527,Tier 1,533293.16,182936.51
105,Yes,Kayani Avenue,,Hackney,"Air conditioning,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,580,25,Redmond Community Centre,Monday-Friday: 9am-6pm Saturday-Sunday: Closed Bank holidays: Closed,N4 2HF,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,London Development Trust,20250527,Tier 1,532363.23,187465.67
88,Yes,1a Aisgill Avenue,,Hammersmith and Fulham,Air conditioning,,"Young children,Older people,Pregnant women",,140,50,Earls Court Community Hub,Monday : 9:00 - 15:00 Tuesday: 10:00 - 19:30 Wednesday: 10:00 - 15:00 Thursday: 10:00 - 20:30 Friday: 10:00 - 21:00,W14 9NF,available on site,yes,Yes,Yes,26c_or_less,Yes,Yes,Earls Court Development Company,20250527,Tier 2,524998,178061
7,Yes,159 High Road,"Wood Green, London",Haringey, Air conditioning ,," older people, pregnant women ",,6,6,The Mall Wood Green - Guest Lounge,Mon to Sat 9:30am to 5:30pm. Sun 11am – 5pm,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,London Borough of Haringey,20250527,Tier 1,531043.258,190106.637
13,Yes,"Unit A, Lebus Street, Hale Village",,Haringey,Natural cooling/ventilation,," young children, older people, pregnant women ",,21,50,The Engine Room,0900-1700 Monday to Friday,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,St Francis at The Engine Room,20250527,Tier 1,534702.429,189666.756
